id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-06-20 00:27:56,"{""short_code"":""HvuaHP"",""original_url"":""https://example.com/rapid/delta/1""}"
2,2,314,created,2025-03-17 10:31:19,"{""short_code"":""zwYsGN"",""original_url"":""https://opswise.net/urban/valley/2""}"
3,3,17,created,2025-11-03 22:15:27,"{""short_code"":""0N6RoR"",""original_url"":""https://relay.cloud/clear/journey/3""}"
4,4,25,created,2025-11-09 18:13:23,"{""short_code"":""Dap2JA"",""original_url"":""https://seeded.app/mellow/orbit/4""}"
5,5,46,created,2025-11-01 18:08:51,"{""short_code"":""9Snx9m"",""original_url"":""https://relay.cloud/navy/uplink/5""}"
6,6,259,created,2025-11-30 22:46:14,"{""short_code"":""Kc9wA5"",""original_url"":""https://hackstack.io/forest/yard/6""}"
7,7,121,created,2025-02-23 10:41:27,"{""short_code"":""xACQhk"",""original_url"":""https://opswise.net/harbor/field/7""}"
8,8,327,created,2026-02-10 07:57:14,"{""short_code"":""OXyA2v"",""original_url"":""https://acme.dev/clear/delta/8""}"
9,9,331,created,2025-11-10 13:28:23,"{""short_code"":""NUsTnO"",""original_url"":""https://seeded.app/cobalt/anchor/9""}"
10,10,378,created,2025-11-03 12:06:33,"{""short_code"":""jR3oww"",""original_url"":""https://seeded.app/opal/delta/10""}"
11,11,117,created,2025-02-10 23:00:18,"{""short_code"":""TpIjcx"",""original_url"":""https://acme.dev/opal/pioneer/11""}"
12,12,258,created,2025-03-17 16:16:37,"{""short_code"":""6HNseO"",""original_url"":""https://acme.dev/proud/journey/12""}"
13,13,128,created,2025-12-26 10:39:35,"{""short_code"":""5OForJ"",""original_url"":""https://seeded.app/silver/zenith/13""}"
14,14,221,created,2025-09-14 01:23:31,"{""short_code"":""IpvJdx"",""original_url"":""https://example.com/lively/island/14""}"
15,15,236,created,2026-02-11 13:44:12,"{""short_code"":""wKhiNc"",""original_url"":""https://relay.cloud/brisk/kernel/15""}"
16,16,241,created,2025-09-29 05:45:32,"{""short_code"":""KOeWf4"",""original_url"":""https://acme.dev/navy/quartz/16""}"
17,17,144,created,2025-11-18 23:58:49,"{""short_code"":""qiTXiR"",""original_url"":""https://opswise.net/ember/signal/17""}"
18,18,81,created,2025-09-15 18:16:58,"{""short_code"":""8Ur1dj"",""original_url"":""https://acme.dev/gold/window/18""}"
19,19,4,created,2025-11-23 09:29:31,"{""short_code"":""UIP72V"",""original_url"":""https://relay.cloud/warm/delta/19""}"
20,20,367,created,2025-03-22 11:15:39,"{""short_code"":""I1AoLB"",""original_url"":""https://relay.cloud/ivory/anchor/20""}"
21,21,6,created,2025-10-19 10:30:28,"{""short_code"":""C6srLt"",""original_url"":""https://acme.dev/keen/window/21""}"
22,22,152,created,2025-05-12 17:16:42,"{""short_code"":""xVvnJp"",""original_url"":""https://seeded.app/jade/quartz/22""}"
23,23,105,created,2026-01-24 12:45:31,"{""short_code"":""5NrW3X"",""original_url"":""https://seeded.app/keen/garden/23""}"
24,24,190,created,2025-10-05 03:40:45,"{""short_code"":""IAfgUL"",""original_url"":""https://example.com/silver/uplink/24""}"
25,25,381,created,2025-08-05 05:36:31,"{""short_code"":""BOTKQB"",""original_url"":""https://hackstack.io/ivory/kernel/25""}"
26,26,93,created,2025-03-08 05:43:27,"{""short_code"":""yJ6SDh"",""original_url"":""https://acme.dev/urban/engine/26""}"
27,27,34,created,2025-11-04 03:43:07,"{""short_code"":""AibwAO"",""original_url"":""https://opswise.net/navy/valley/27""}"
28,28,153,created,2025-01-29 01:21:39,"{""short_code"":""5qknXH"",""original_url"":""https://seeded.app/harbor/anchor/28""}"
29,29,36,created,2025-07-08 23:06:41,"{""short_code"":""Pfrn1o"",""original_url"":""https://relay.cloud/gold/valley/29""}"
30,30,157,created,2025-10-28 00:03:38,"{""short_code"":""tGBhTI"",""original_url"":""https://acme.dev/clear/garden/30""}"
31,31,246,created,2026-02-07 06:45:05,"{""short_code"":""SCtdl2"",""original_url"":""https://example.com/vivid/network/31""}"
32,32,242,created,2026-01-30 19:54:17,"{""short_code"":""oTfQw8"",""original_url"":""https://opswise.net/ember/anchor/32""}"
33,33,315,created,2025-01-16 01:55:23,"{""short_code"":""cpt5IQ"",""original_url"":""https://opswise.net/warm/canyon/33""}"
34,34,228,created,2025-04-09 15:05:18,"{""short_code"":""Ai1Rac"",""original_url"":""https://hackstack.io/ivory/journey/34""}"
35,35,372,created,2025-06-23 13:54:47,"{""short_code"":""6aIjhl"",""original_url"":""https://opswise.net/calm/valley/35""}"
36,36,219,created,2026-01-14 22:19:59,"{""short_code"":""nW9NLa"",""original_url"":""https://opswise.net/mellow/pioneer/36""}"
37,37,117,created,2025-10-15 08:25:32,"{""short_code"":""hCEngL"",""original_url"":""https://example.com/clear/yard/37""}"
38,38,149,created,2025-11-11 11:07:45,"{""short_code"":""9zftdf"",""original_url"":""https://seeded.app/keen/yard/38""}"
39,39,198,created,2025-06-23 13:55:14,"{""short_code"":""zIYWpy"",""original_url"":""https://opswise.net/calm/anchor/39""}"
40,40,178,created,2025-02-10 13:51:22,"{""short_code"":""F5BrCR"",""original_url"":""https://acme.dev/brisk/valley/40""}"
41,41,243,created,2025-02-28 02:57:14,"{""short_code"":""IzijdP"",""original_url"":""https://acme.dev/proud/meadow/41""}"
42,42,21,created,2025-08-31 15:39:59,"{""short_code"":""aI94Uw"",""original_url"":""https://acme.dev/lively/trail/42""}"
43,43,380,created,2025-06-20 10:09:59,"{""short_code"":""LDHubW"",""original_url"":""https://seeded.app/warm/anchor/43""}"
44,44,207,created,2025-12-04 09:46:17,"{""short_code"":""ghBaDH"",""original_url"":""https://hackstack.io/forest/orbit/44""}"
45,45,221,created,2025-06-12 15:25:38,"{""short_code"":""AQYFQD"",""original_url"":""https://seeded.app/jade/yard/45""}"
46,46,378,created,2026-01-17 12:06:03,"{""short_code"":""iWMYHe"",""original_url"":""https://example.com/young/window/46""}"
47,47,229,created,2025-10-13 11:05:30,"{""short_code"":""ftSy47"",""original_url"":""https://seeded.app/rapid/river/47""}"
48,48,90,created,2025-11-28 20:04:06,"{""short_code"":""ViS54L"",""original_url"":""https://example.com/young/lagoon/48""}"
49,49,118,created,2025-05-29 22:20:52,"{""short_code"":""XlaBtm"",""original_url"":""https://acme.dev/jade/pioneer/49""}"
50,50,283,created,2025-01-03 22:37:02,"{""short_code"":""UUb60v"",""original_url"":""https://acme.dev/navy/zenith/50""}"
51,51,382,created,2025-07-10 13:20:29,"{""short_code"":""0tcHwj"",""original_url"":""https://relay.cloud/quiet/quartz/51""}"
52,52,304,created,2026-02-19 12:13:09,"{""short_code"":""d1CSFU"",""original_url"":""https://hackstack.io/navy/trail/52""}"
53,53,47,created,2025-12-21 14:51:23,"{""short_code"":""AZ7QnN"",""original_url"":""https://opswise.net/lively/canyon/53""}"
54,54,266,created,2025-06-13 05:40:19,"{""short_code"":""iT1hwg"",""original_url"":""https://seeded.app/rapid/lagoon/54""}"
55,55,291,created,2025-04-27 01:20:45,"{""short_code"":""7DfvVS"",""original_url"":""https://acme.dev/gold/signal/55""}"
56,56,51,created,2025-11-28 21:58:29,"{""short_code"":""18OLXp"",""original_url"":""https://relay.cloud/silver/kernel/56""}"
